S_Phase_AM,S_Phase_AM+IM,S_Phase_IM,S_Phase_IM+SS,S_Phase_SS,S_Phase_SS+IM,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,Ns,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr
0,0,0,0,1,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,0.5,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.5
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.3,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0,1.8,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.4,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,1.6,0.0,0.0,0,0.0,1.0
0,0,1,0,0,0,0.0,0.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.07,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.9,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.1,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
